server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x10,10,good,25000,0.05,0,0.0,0.009685247825745287,0.024594879757134737
x10,10,good,25000,0.05,0,0.0,0.010094611531700203,0.02622492882952502
x10,10,good,25000,0.05,0,0.0,0.01045308088932611,0.024433477960687372
x10,10,good,25000,0.05,0,0.0,0.010033652038174572,0.02421023607617557
x10,10,good,25000,0.05,0,0.0,0.009879904269211742,0.025591909700644545
x10,10,good,25000,0.05,0,0.0,0.009821244958488533,0.022932786622724667
x10,10,good,25000,0.05,0,0.0,0.009724345301381613,0.02371298886726681
x10,10,good,25000,0.05,0,0.0,0.010511330394625365,0.02533615833697985
x10,10,good,25000,0.05,0,0.0,0.010288196515664184,0.024118923229335607
x10,10,good,25000,0.05,0,0.0,0.01025135594477063,0.025196672522080556
x10,10,good,25000,0.05,0,0.0,0.010113414194970931,0.02565348376925218
x2,2,good,25000,0.05,15,0.03571555051827798,0.0313774478155263,0.004677041946636949
x2,2,good,25000,0.05,15,0.03657380656993647,0.03269555304321564,0.004838698150038097
x2,2,good,25000,0.05,15,0.03827943346079311,0.032725997381243085,0.004930459033150264
x2,2,good,25000,0.05,0,0.0,0.050082444163221655,0.02530692523438173
x2,2,good,25000,0.05,15,0.03666227681475584,0.03130903969727641,0.004784513693633032
x2,2,good,25000,0.05,15,0.03428714869639177,0.031245875462829965,0.004945677251637965
x2,2,good,25000,0.05,0,0.0,0.0514897431671074,0.02613127784931589
x2,2,good,25000,0.05,0,0.0,0.05069805458945648,0.022818638838001927
x2,2,good,25000,0.05,15,0.03338774728116724,0.03227005934275772,0.00500419094439316
x2,2,good,25000,0.05,15,0.03377268496797355,0.032898165761286145,0.0048493761105345996
x2,2,good,25000,0.05,15,0.03717943623970557,0.033293783443840694,0.005235609228424488
x2,2,good,25000,0.05,15,0.034730400473107575,0.0333681188720171,0.00479234367056474
x2,2,good,25000,0.05,0,0.0,0.04844484153851432,0.026462442915844923
x2,2,good,25000,0.05,15,0.03265964841237095,0.03194797881237632,0.004704729618206683
x2,2,good,25000,0.05,15,0.03804347662615492,0.031014586307087644,0.005057806633463852
x100,100,good,25000,0.05,0,0.0,0.0010104746466869196,0.02517676181465149
x100,100,good,25000,0.05,0,0.0,0.000971805526539753,0.02526076982852052
x100,100,good,25000,0.05,0,0.0,0.0010184484169888722,0.026150365725690627
x100,100,good,25000,0.05,0,0.0,0.0010247467195187098,0.025627122047881222
x100,100,good,25000,0.05,0,0.0,0.0009611493048909971,0.025668837104896813
x100,100,good,25000,0.05,0,0.0,0.0010284033964625698,0.024752140048910236
x100,100,good,25000,0.05,0,0.0,0.0010060592876584575,0.025281650361706605
x100,100,good,25000,0.05,0,0.0,0.0010455457845100857,0.02623596068967292
x100,100,good,25000,0.05,0,0.0,0.001002386075535351,0.025735848186220933
