server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x2,2,mid,5000,0.05,15,0.03394127694819888,0.03285575930965168,0.016500143202183043
x2,2,mid,5000,0.05,15,0.033484851468542964,0.03146750096146533,0.015942502726499018
x2,2,mid,5000,0.05,15,0.0379637200572922,0.03222520481439192,0.015757422373435234
x2,2,mid,5000,0.05,15,0.04368664187721316,0.030447179168255706,0.016052255300993856
x2,2,mid,5000,0.05,15,0.0405317759222438,0.031480197783263573,0.016390098324789923
x2,2,mid,5000,0.05,15,0.035007893220980635,0.03195264437788937,0.016801504747553535
x2,2,mid,5000,0.05,15,0.03506181607254121,0.030586372339938328,0.017091760303444385
x2,2,mid,5000,0.05,15,0.03413997870120047,0.03251376173385741,0.017276301122800607
x5,5,mid,5000,0.05,15,0.038596963260904706,0.012020252841704044,0.0160955198769729
x5,5,mid,5000,0.05,15,0.03673026575963453,0.013709622163902964,0.01627713173021298
x5,5,mid,5000,0.05,15,0.036580608439248104,0.013185182009798633,0.017082191123137913
x5,5,mid,5000,0.05,15,0.037620981191140455,0.013424037335269357,0.016742111409915585
x5,5,mid,5000,0.05,15,0.03779514960518871,0.0124779124197803,0.01572078277364152
x5,5,mid,5000,0.05,15,0.036218633050115884,0.013336569624224096,0.016561810284679693
x5,5,mid,5000,0.05,15,0.0379362296160216,0.012878908852210812,0.016962962699547578
x5,5,mid,5000,0.05,15,0.034217241508469366,0.012797667343897663,0.01673718537597834
x5,5,mid,5000,0.05,15,0.03610894771356443,0.012679682823315504,0.01684282574366905
x5,5,mid,5000,0.05,15,0.036981555460793764,0.013019374788960097,0.016694383775090138
x5,5,mid,5000,0.05,15,0.03776067955561685,0.01297295798039025,0.014796964668470946
x5,5,mid,5000,0.05,15,0.03558765979760795,0.013470372908185698,0.017303679780595355
x5,5,mid,5000,0.05,15,0.039769726604409056,0.013242161748594432,0.014709028423271518
x5,5,mid,5000,0.05,15,0.03736873007946424,0.01225722246842931,0.01548118567740426
x5,5,mid,5000,0.05,15,0.03663874674600168,0.012909481447834716,0.016093753247155493
x5,5,mid,5000,0.05,15,0.0380362321336216,0.012191461967194245,0.016263912371353245
x5,5,mid,5000,0.05,15,0.036862999739312986,0.013023085980792146,0.015817085617365355
x5,5,mid,5000,0.05,15,0.03736609059902849,0.012111484394458277,0.017722958324054273
x5,5,mid,5000,0.05,15,0.03638659630843788,0.01271375495505317,0.016319664057425184
x5,5,mid,5000,0.05,15,0.034050096109839854,0.012850320517256994,0.016377878960539202
x5,5,mid,5000,0.05,15,0.0338858034119644,0.013666800537366065,0.016578041602799957
x5,5,mid,5000,0.05,15,0.03837111598157211,0.013435175218245046,0.016249667708497725
x5,5,mid,5000,0.05,15,0.038053580267369005,0.012932575564073618,0.01718869823768553
x5,5,mid,5000,0.05,15,0.03500235029750314,0.013142349790846272,0.016568329886633183
x5,5,mid,5000,0.05,15,0.03498281000245812,0.013320872063868418,0.016944801261722344
