server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x1,1,good,25000,0.05,58,0.0998717427101208,0.0,0.0020149952000325633
x5,5,good,25000,0.05,0,0.0,0.02055505796609926,0.025457451902217015
x25,25,good,25000,0.05,0,0.0,0.0042261758827350756,0.024884342383309867
x1,1,good,25000,0.05,58,0.09946126139910574,0.0,0.00201563564811899
x100,100,good,25000,0.05,0,0.0,0.0009857143762194399,0.02395812262611758
x25,25,good,25000,0.05,0,0.0,0.003998280069816732,0.02691946903644648
x100,100,good,25000,0.05,0,0.0,0.0010487865416943778,0.026513969024007447
x25,25,good,25000,0.05,0,0.0,0.003848753698671342,0.025799320058748874
x1,1,good,25000,0.05,33,0.06643247720707533,0.0361436312294163,0.0033894248865836783
x100,100,good,25000,0.05,0,0.0,0.0010200252555775439,0.024449748499985227
x2,2,good,25000,0.05,15,0.035177767893364444,0.03146968512778129,0.004628062390372994
x10,10,good,25000,0.05,0,0.0,0.01010898462259737,0.02562826277762957
x2,2,good,25000,0.05,15,0.03448217843664563,0.031687335531821154,0.0048790423530569475
x25,25,good,25000,0.05,0,0.0,0.004096523982149195,0.023890577650671506
x2,2,good,25000,0.05,15,0.036034782563565536,0.03179771216518153,0.004752864205312849
x10,10,good,25000,0.05,0,0.0,0.010018180777571776,0.027421100433756423
x100,100,good,25000,0.05,0,0.0,0.0010182114517665623,0.024074135799729356
x50,50,good,25000,0.05,0,0.0,0.0020219385710302956,0.023562913150407712
x2,2,good,25000,0.05,15,0.03586439563114109,0.030894060323467264,0.005041427054351942
x2,2,good,25000,0.05,15,0.03568546305396176,0.03159605374769358,0.005084994724679882
x5,5,good,25000,0.05,0,0.0,0.020544405266548316,0.025891581817918292
x10,10,good,25000,0.05,0,0.0,0.009589595710803565,0.024382895953578093
x25,25,good,25000,0.05,0,0.0,0.004005184321435697,0.023170953010574417
x100,100,good,25000,0.05,0,0.0,0.0010105999001910877,0.026337967616521005
x50,50,good,25000,0.05,0,0.0,0.0019503195150316621,0.025644645657999933
x5,5,good,25000,0.05,0,0.0,0.019354190165028602,0.02358946796688334
x1,1,good,25000,0.05,58,0.10093585519087273,0.0,0.0020152795493162848
x1,1,good,25000,0.05,58,0.09968674824083548,0.0,0.0020158250565728893
x10,10,good,25000,0.05,0,0.0,0.010558527240265502,0.02611231375535189
x1,1,good,25000,0.05,58,0.10012813926060486,0.0,0.00201492499316593
x50,50,good,25000,0.05,0,0.0,0.001957531703983594,0.026007333684999176
x1,1,good,25000,0.05,42,0.07059557194608237,0.0220318086873517,0.003316058702383055
x50,50,good,25000,0.05,0,0.0,0.0020968366913023916,0.02402750426683701
x10,10,good,25000,0.05,0,0.0,0.010509016592411841,0.02421513284970476
x50,50,good,25000,0.05,0,0.0,0.002023406352296025,0.02325567936898007
x100,100,good,25000,0.05,0,0.0,0.0010239492432448068,0.026442599759832076
x2,2,good,25000,0.05,15,0.03324160698562649,0.03243996306115089,0.004714839471174098
x25,25,good,25000,0.05,0,0.0,0.003849159215309723,0.026411177793424036
x5,5,good,25000,0.05,0,0.0,0.019736842082085114,0.023856914158073457
x50,50,good,25000,0.05,0,0.0,0.0021199337708613835,0.023815265675566168
x100,100,good,25000,0.05,0,0.0,0.0009809170209969,0.026038468137641185
x100,100,good,25000,0.05,0,0.0,0.0009812847117086322,0.02337230125288383
x1,1,good,25000,0.05,33,0.0571058495153413,0.034911051215461834,0.003560998250910944
x10,10,good,25000,0.05,0,0.0,0.010479190709321632,0.02563979810284464
x100,100,good,25000,0.05,0,0.0,0.0010602885972842322,0.024735129646520207
x1,1,good,25000,0.05,52,0.09601402572785882,0.007053294824773949,0.00333929907346684
x2,2,good,25000,0.05,15,0.0374801544256572,0.03115937675000872,0.005044097683359136
x2,2,good,25000,0.05,15,0.0378124058233546,0.03133698025674081,0.004913352096603062
x5,5,good,25000,0.05,0,0.0,0.020814915073870604,0.026774707856540098
x1,1,good,25000,0.05,57,0.09753914702795081,0.00123672422491136,0.002181187323187384
x50,50,good,25000,0.05,0,0.0,0.00205434557649538,0.027092093111795203
x50,50,good,25000,0.05,0,0.0,0.0021495266790568586,0.026495874100134167
x2,2,good,25000,0.05,15,0.032099016371942166,0.031911876730738385,0.004877274057562116
x2,2,good,25000,0.05,15,0.033678817138329493,0.03228212170983882,0.005064315350514929
x25,25,good,25000,0.05,0,0.0,0.00424641677227588,0.0269395077483658
x25,25,good,25000,0.05,0,0.0,0.003922762863343455,0.024803172810798052
x25,25,good,25000,0.05,0,0.0,0.004088663704006541,0.022487499960736852
x1,1,good,25000,0.05,33,0.06271976679626326,0.03588541320413716,0.0034751804044052923
x2,2,good,25000,0.05,15,0.034688397385450064,0.03269458999423993,0.004676698396264467
x100,100,good,25000,0.05,0,0.0,0.0009927277174187853,0.02457764394012496
x25,25,good,25000,0.05,0,0.0,0.003882578531637153,0.026500896893736726
x1,1,good,25000,0.05,15,0.03861306418034308,0.05876570060291586,0.0050603783068355265
x1,1,good,25000,0.05,33,0.0610953417276061,0.03427157464615052,0.0034407027577242786
x10,10,good,25000,0.05,0,0.0,0.009834292541755493,0.02565033979095792
x2,2,good,25000,0.05,15,0.03652423597329451,0.03230128954544176,0.004829894220691051
x1,1,good,25000,0.05,57,0.10125136756473534,0.0013591739282756313,0.002170902361182166
x5,5,good,25000,0.05,0,0.0,0.02032493325064374,0.027381829581011485
x50,50,good,25000,0.05,0,0.0,0.0019868348973261633,0.025896224170845666
x100,100,good,25000,0.05,0,0.0,0.0010486515220433936,0.02416211138366118
x25,25,good,25000,0.05,0,0.0,0.004018647923201948,0.023545248965945773
x100,100,good,25000,0.05,0,0.0,0.001010087254985645,0.02449563484376705
x1,1,good,25000,0.05,58,0.10040989787137103,0.0,0.0020154303366072624
x25,25,good,25000,0.05,0,0.0,0.003895717889635733,0.027151580186817473
x2,2,good,25000,0.05,15,0.035681114081922406,0.030798315691373476,0.0047432073506216196
x10,10,good,25000,0.05,0,0.0,0.010330062501161922,0.024913379582638423
x5,5,good,25000,0.05,0,0.0,0.02029102409631331,0.027045113527701926
x10,10,good,25000,0.05,0,0.0,0.010184193174666433,0.022963556937647414
x2,2,good,25000,0.05,15,0.036115834863075076,0.033287196370013546,0.004721742772368046
x25,25,good,25000,0.05,0,0.0,0.004348557787072958,0.025273880535748375
x5,5,good,25000,0.05,0,0.0,0.020414734922939118,0.025934357282604265
x5,5,good,25000,0.05,0,0.0,0.020632359862174383,0.023931633809847398
x5,5,good,25000,0.05,0,0.0,0.01981556932276036,0.025067132787220857
x50,50,good,25000,0.05,0,0.0,0.00199404168780073,0.024325476840761556
x100,100,good,25000,0.05,0,0.0,0.0009883410532576476,0.024232494544288566
x1,1,good,25000,0.05,58,0.10090809888958849,0.0,0.0020161423470124664
x5,5,good,25000,0.05,0,0.0,0.020693881354171766,0.025796322629393548
x25,25,good,25000,0.05,0,0.0,0.004011429693798034,0.02498258378147497
x5,5,good,25000,0.05,0,0.0,0.02046387280594408,0.02452058059214087
x10,10,good,25000,0.05,0,0.0,0.01039586258478297,0.024576248546009934
x50,50,good,25000,0.05,0,0.0,0.0021596851435729428,0.022559739428160787
x100,100,good,25000,0.05,0,0.0,0.0009799565448899872,0.025782305423501094
x50,50,good,25000,0.05,0,0.0,0.0019286090521141894,0.026136448133351996
x5,5,good,25000,0.05,0,0.0,0.02123059340380206,0.02634891371627672
x10,10,good,25000,0.05,0,0.0,0.009934367262033306,0.022978947383163265
x1,1,good,25000,0.05,58,0.10198666007481683,0.0,0.0020154776132586955
x5,5,good,25000,0.05,0,0.0,0.020968199390376432,0.025612310060643947
x50,50,good,25000,0.05,0,0.0,0.0020348395182365605,0.0271484119120255
x50,50,good,25000,0.05,0,0.0,0.0019760451358928556,0.02624984684507716
x25,25,good,25000,0.05,0,0.0,0.003895431023959895,0.028937344324842497
x5,5,good,25000,0.05,0,0.0,0.02098701587963949,0.024984245856522085
x5,5,good,25000,0.05,0,0.0,0.021602937806657667,0.024371604724995596
x25,25,good,25000,0.05,0,0.0,0.00427923417726055,0.024367422190890276
x10,10,good,25000,0.05,0,0.0,0.010628270832733645,0.02764795247871512
x1,1,good,25000,0.05,15,0.03917025983727814,0.06205159384251637,0.004705996876674208
x10,10,good,25000,0.05,0,0.0,0.010004923373955915,0.024449010622483412
x100,100,good,25000,0.05,0,0.0,0.0009820361369040893,0.025779239586626215
x1,1,good,25000,0.05,16,0.03875010492073831,0.06175854890256671,0.00501658421157185
x25,25,good,25000,0.05,0,0.0,0.00404934426978649,0.024919426627284955
x25,25,good,25000,0.05,0,0.0,0.003903346862584196,0.024961500445640224
x100,100,good,25000,0.05,0,0.0,0.001001278822614013,0.026603068431092405
x5,5,good,25000,0.05,0,0.0,0.021070794148061133,0.023994799241939757
x100,100,good,25000,0.05,0,0.0,0.0010457971281302068,0.024708036780571534
x1,1,good,25000,0.05,57,0.10056842334883227,0.001507132208954584,0.002178574176891595
